"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",50,0,36047.88,794.64,36842.52,11,0,8393.23,0,13,0,11934.07,0,23,0,14135.69,0,2,0,1180.08,0,1,0,404.81,794.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Febrer",50,0,36047.88,0,36047.88,11,0,8393.23,0,13,0,11934.07,0,23,0,14135.69,0,2,0,1180.08,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar",51,1,35895.41,3779.6,39675.01,12,0,8691.51,2914.27,13,0,11934.07,0,22,0,13134.94,0,3,1,1730.08,550,1,0,404.81,315.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abril",51,0,35895.41,0,35895.41,11,0,8393.23,0,13,0,11934.07,0,22,0,13134.94,0,4,0,2028.36,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maig",51,0,36505.96,1801.35,38307.31,11,0,8393.23,0,13,0,11934.07,0,22,0,13745.49,1801.35,4,0,2028.36,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juny",50,0,35505.21,0,35505.21,11,0,8393.23,0,13,0,11934.07,0,21,0,12744.74,0,4,0,2028.36,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juliol",52,1,37203.28,4581.19,41784.47,14,1,10389.58,4581.19,13,0,11934.07,0,21,0,12744.74,0,3,0,1730.08,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agost",52,0,37632.32,5106.96,42739.28,13,0,10466.93,5106.96,12,0,11433.52,0,21,0,12744.74,0,5,0,2582.32,0,1,0,404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Setembre",58,6,39852.62,8514.34,48366.96,13,0,10466.93,0,12,0,11433.52,0,22,1,12901.11,651.54,7,2,3562.4,5390.43,1,0,404.81,0,2,2,603.85,1512.37,0,0,0,0,1,1,480,960,0,0,0,0
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
